都道府県,性別,年齢区分,下限値,上限値,人数
千葉県,男性,60～64歳,31.0,inf,12426
千葉県,男性,60～64歳,51.0,inf,3091
東京都,男性,60～64歳,,,168006
東京都,男性,60～64歳,31.0,inf,29318
東京都,男性,60～64歳,51.0,inf,7290
神奈川県,男性,60～64歳,,,113101
神奈川県,男性,60～64歳,31.0,inf,19014
神奈川県,男性,60～64歳,51.0,inf,4553
新潟県,男性,60～64歳,,,33791
新潟県,男性,60～64歳,31.0,inf,6275
新潟県,男性,60～64歳,51.0,inf,1488
富山県,男性,60～64歳,,,14854
富山県,男性,60～64歳,31.0,inf,2599
富山県,男性,60～64歳,51.0,inf,600
石川県,男性,60～64歳,,,15076
石川県,男性,60～64歳,31.0,inf,2492
石川県,男性,60～64歳,51.0,inf,651
福井県,男性,60～64歳,,,10687
福井県,男性,60～64歳,31.0,inf,1792
福井県,男性,60～64歳,51.0,inf,448
山梨県,男性,60～64歳,,,12382
山梨県,男性,60～64歳,31.0,inf,1979
山梨県,男性,60～64歳,51.0,inf,465
長野県,男性,60～64歳,,,29859
長野県,男性,60～64歳,31.0,inf,4819
長野県,男性,60～64歳,51.0,inf,1013
岐阜県,男性,60～64歳,,,27991
岐阜県,男性,60～64歳,31.0,inf,4206
岐阜県,男性,60～64歳,51.0,inf,975
静岡県,男性,60～64歳,,,52922
