都道府県,性別,年齢区分,下限値,上限値,人数
宮城県,男性,55～59歳,0.0,35.0,773
宮城県,男性,55～59歳,35.0,40.0,2194
宮城県,男性,55～59歳,40.0,inf,40900
秋田県,男性,55～59歳,0.0,35.0,272
秋田県,男性,55～59歳,35.0,40.0,737
秋田県,男性,55～59歳,40.0,inf,17077
山形県,男性,55～59歳,0.0,35.0,343
山形県,男性,55～59歳,35.0,40.0,993
山形県,男性,55～59歳,40.0,inf,21101
福島県,男性,55～59歳,0.0,35.0,570
福島県,男性,55～59歳,35.0,40.0,1662
福島県,男性,55～59歳,40.0,inf,32673
茨城県,男性,55～59歳,0.0,35.0,904
茨城県,男性,55～59歳,35.0,40.0,2559
茨城県,男性,55～59歳,40.0,inf,50225
栃木県,男性,55～59歳,0.0,35.0,590
栃木県,男性,55～59歳,35.0,40.0,1683
栃木県,男性,55～59歳,40.0,inf,35156
群馬県,男性,55～59歳,0.0,35.0,684
群馬県,男性,55～59歳,35.0,40.0,1771
群馬県,男性,55～59歳,40.0,inf,34251
埼玉県,男性,55～59歳,0.0,35.0,2108
埼玉県,男性,55～59歳,35.0,40.0,6202
埼玉県,男性,55～59歳,40.0,inf,129800
千葉県,男性,55～59歳,0.0,35.0,1793
千葉県,男性,55～59歳,35.0,40.0,5153
千葉県,男性,55～59歳,40.0,inf,107765
東京都,男性,55～59歳,0.0,35.0,4456
東京都,男性,55～59歳,35.0,40.0,12875
東京都,男性,55～59歳,40.0,inf,271150
神奈川県,男性,55～59歳,0.0,35.0,2845
神奈川県,男性,55～59歳,35.0,40.0,8472
神奈川県,男性,55～59歳,40.0,inf,182736
新潟県,男性,55～59歳,0.0,35.0,793
新潟県,男性,55～59歳,35.0,40.0,1983
新潟県,男性,55～59歳,40.0,inf,43155
富山県,男性,55～59歳,0.0,35.0,347
富山県,男性,55～59歳,35.0,40.0,969
富山県,男性,55～59歳,40.0,inf,20058
石川県,男性,55～59歳,0.0,35.0,382
石川県,男性,55～59歳,35.0,40.0,974
石川県,男性,55～59歳,40.0,inf,20122
福井県,男性,55～59歳,0.0,35.0,274
福井県,男性,55～59歳,35.0,40.0,663
福井県,男性,55～59歳,40.0,inf,13881
山梨県,男性,55～59歳,0.0,35.0,280
山梨県,男性,55～59歳,35.0,40.0,848
山梨県,男性,55～59歳,40.0,inf,16153
長野県,男性,55～59歳,0.0,35.0,707
長野県,男性,55～59歳,35.0,40.0,2062
長野県,男性,55～59歳,40.0,inf,39040
岐阜県,男性,55～59歳,0.0,35.0,621
岐阜県,男性,55～59歳,35.0,40.0,1822
岐阜県,男性,55～59歳,40.0,inf,36488
静岡県,男性,55～59歳,0.0,35.0,1175
静岡県,男性,55～59歳,35.0,40.0,3348
静岡県,男性,55～59歳,40.0,inf,70333
愛知県,男性,55～59歳,0.0,35.0,2407
愛知県,男性,55～59歳,35.0,40.0,6756
愛知県,男性,55～59歳,40.0,inf,146676
三重県,男性,55～59歳,0.0,35.0,610
三重県,男性,55～59歳,35.0,40.0,1712
三重県,男性,55～59歳,40.0,inf,33769
滋賀県,男性,55～59歳,0.0,35.0,447
滋賀県,男性,55～59歳,35.0,40.0,1242
滋賀県,男性,55～59歳,40.0,inf,24771
京都府,男性,55～59歳,0.0,35.0,688
京都府,男性,55～59歳,35.0,40.0,1802
京都府,男性,55～59歳,40.0,inf,40951
大阪府,男性,55～59歳,0.0,35.0,2330
大阪府,男性,55～59歳,35.0,40.0,6527
大阪府,男性,55～59歳,40.0,inf,139942
兵庫県,男性,55～59歳,0.0,35.0,1457
兵庫県,男性,55～59歳,35.0,40.0,4273
兵庫県,男性,55～59歳,40.0,inf,92783
奈良県,男性,55～59歳,0.0,35.0,338
奈良県,男性,55～59歳,35.0,40.0,987
奈良県,男性,55～59歳,40.0,inf,21224
和歌山県,男性,55～59歳,0.0,35.0,275
和歌山県,男性,55～59歳,35.0,40.0,686
和歌山県,男性,55～59歳,40.0,inf,14517
鳥取県,男性,55～59歳,0.0,35.0,148
鳥取県,男性,55～59歳,35.0,40.0,383
鳥取県,男性,55～59歳,40.0,inf,8773
島根県,男性,55～59歳,0.0,35.0,141
島根県,男性,55～59歳,35.0,40.0,425
島根県,男性,55～59歳,40.0,inf,11414
岡山県,男性,55～59歳,0.0,35.0,645
岡山県,男性,55～59歳,35.0,40.0,1545
岡山県,男性,55～59歳,40.0,inf,29869
広島県,男性,55～59歳,0.0,35.0,778
広島県,男性,55～59歳,35.0,40.0,2194
広島県,男性,55～59歳,40.0,inf,47421
山口県,男性,55～59歳,0.0,35.0,326
山口県,男性,55～59歳,35.0,40.0,838
山口県,男性,55～59歳,40.0,inf,20731
徳島県,男性,55～59歳,0.0,35.0,213
徳島県,男性,55～59歳,35.0,40.0,556
徳島県,男性,55～59歳,40.0,inf,11273
香川県,男性,55～59歳,0.0,35.0,311
香川県,男性,55～59歳,35.0,40.0,861
香川県,男性,55～59歳,40.0,inf,15445
愛媛県,男性,55～59歳,0.0,35.0,409
愛媛県,男性,55～59歳,35.0,40.0,1135
愛媛県,男性,55～59歳,40.0,inf,21936
高知県,男性,55～59歳,0.0,35.0,180
高知県,男性,55～59歳,35.0,40.0,479
高知県,男性,55～59歳,40.0,inf,10606
福岡県,男性,55～59歳,0.0,35.0,1089
福岡県,男性,55～59歳,35.0,40.0,3309
福岡県,男性,55～59歳,40.0,inf,75860
佐賀県,男性,55～59歳,0.0,35.0,209
佐賀県,男性,55～59歳,35.0,40.0,563
佐賀県,男性,55～59歳,40.0,inf,12859
長崎県,男性,55～59歳,0.0,35.0,319
長崎県,男性,55～59歳,35.0,40.0,921
長崎県,男性,55～59歳,40.0,inf,20394
熊本県,男性,55～59歳,0.0,35.0,549
熊本県,男性,55～59歳,35.0,40.0,1510
熊本県,男性,55～59歳,40.0,inf,27728
大分県,男性,55～59歳,0.0,35.0,294
大分県,男性,55～59歳,35.0,40.0,872
大分県,男性,55～59歳,40.0,inf,18644
